date,net_flow,net_flow_cny_million,money_flow_method,traded_value,net_flow_direction
2025-09-22,409973744.4444468,409.9737444444468,ohlcv_price_volume_proxy,1581327300.0,inflow
2025-09-23,-508182574.370371,-508.18257437037096,ohlcv_price_volume_proxy,1247357228.0,outflow
2025-09-24,215005139.9999954,215.0051399999954,ohlcv_price_volume_proxy,1075025700.0,inflow
2025-09-25,-359628685.7142872,-359.6286857142872,ohlcv_price_volume_proxy,839133600.0,outflow
2025-09-26,-451499980.8000049,-451.4999808000049,ohlcv_price_volume_proxy,1026136319.9999999,outflow
2025-09-27,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-28,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-09-29,505974332.7272669,505.9743327272669,ohlcv_price_volume_proxy,1113143531.9999998,inflow
2025-09-30,643098049.9411757,643.0980499411756,ohlcv_price_volume_proxy,1214740761.0,inflow
2025-10-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-03,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-04,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-05,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-06,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-07,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-08,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-09,1387030515.6666734,1387.0305156666734,ohlcv_price_volume_proxy,1713390637.0,inflow
2025-10-10,-676260264.7058791,-676.2602647058791,ohlcv_price_volume_proxy,1045129500.0,outflow
2025-10-11,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-12,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-13,357694287.7500079,357.6942877500079,ohlcv_price_volume_proxy,1430777151.0,inflow
2025-10-14,-1102262463.5294025,-1102.2624635294026,ohlcv_price_volume_proxy,1249230792.0,outflow
2025-10-15,-76411788.93333152,-76.41178893333152,ohlcv_price_volume_proxy,1146176834.0,outflow
2025-10-16,-550934015.9999934,-550.9340159999934,ohlcv_price_volume_proxy,918223360.0,outflow
2025-10-17,-752613513.3333234,-752.6135133333233,ohlcv_price_volume_proxy,903136216.0,outflow
2025-10-18,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-19,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-20,330420385.2000039,330.4203852000039,ohlcv_price_volume_proxy,550700642.0,inflow
2025-10-21,521745920.0000035,521.7459200000035,ohlcv_price_volume_proxy,652182400.0,inflow
2025-10-22,-165944225.3333333,-165.94422533333332,ohlcv_price_volume_proxy,497832676.0,outflow
2025-10-23,0.0,0.0,ohlcv_price_volume_proxy,480840822.0,flat
2025-10-24,-93947248.79999,-93.94724879998999,ohlcv_price_volume_proxy,469736244.00000006,outflow
2025-10-25,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-26,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-10-27,-475780434.2857022,-475.78043428570226,ohlcv_price_volume_proxy,666092608.0,outflow
2025-10-28,-411088071.4285756,-411.0880714285756,ohlcv_price_volume_proxy,575523300.0,outflow
2025-10-29,405651443.2499909,405.6514432499909,ohlcv_price_volume_proxy,540868590.9999999,inflow
2025-10-30,-308257862.00000453,-308.25786200000454,ohlcv_price_volume_proxy,462386793.0,outflow
